Rtg.,Vwrs.,Game,Conf.,Time,Net,Away,Home,Notes
—,5.423M,L’ville/TAMUMusic City Bowl,,7:12 PM,ESPN,,,
—,4.249M,Wisconsin/USCHoliday Bowl,,11:12 PM,ESPN,,,
—,3.501M,Miss. St./NCSUBelk Bowl,,3:32 PM,ESPN,,,
—,2.412M,Auburn/MemphisBirmingham Bowl,,12:00 PM,ESPN,,,
"Thursday, December 31","Thursday, December 31","Thursday, December 31",,"Thursday, December 31","Thursday, December 31",,,
9.6,18.552M,Alabama/MSUCotton Bowl (semi),,8:20 PM,ESPN,,,
9.1,15.640M,Clemson/Okla.Orange Bowl (semi),,4:10 PM,ESPN,,,
3.7,5.604M,Houston/FSUPeach Bowl,,11:58 AM,ESPN,,,
"Friday, January 1","Friday, January 1","Friday, January 1",,"Friday, January 1","Friday, January 1",,,
7.4,13.552M,Stanford/IowaRose Bowl,,5:09 PM,ESPN,,,
5.6,9.759M,Ohio State/NDFiesta Bowl,,12:56 PM,ESPN,,,
5.1,8.940M,Miss./Okla. St.Sugar Bowl,,8:39 PM,ESPN,,,
5.1,8.761M,Michigan/UFCitrus Bowl,,1:00 PM,ABC,,,
—,2.821M,N’Wstn/Tenn.Outback Bowl,,12:00 PM,ESPN2,,,
"Saturday, January 2","Saturday, January 2","Saturday, January 2",,"Saturday, January 2","Saturday, January 2",,,
—,7.414M,TCU/OregonAlamo Bowl,,6:52 PM,ESPN,,,
—,7.049M,Arkansas/KSULiberty Bowl,,3:24 PM,ESPN,,,
—,5.872M,Georgia/PSUGator Bowl,,12:00 PM,ESPN,,,
—,3.699M,WVU/ASUCactus Bowl,,11:02 PM,ESPN,,,
"Monday, January 11","Monday, January 11","Monday, January 11",,"Monday, January 11","Monday, January 11",,,
15.0,26.182M,Alabama/ClemsonNat’l Champ.,,8:30 PM,ESPN Megacast,,,
"Bowl numbers via ESPN, ShowBuzz Daily [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], TV Media Insights, Programming Insiders [1], [2] Salt Lake Tribune","Bowl numbers via ESPN, ShowBuzz Daily [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], TV Media Insights, Programming Insiders [1], [2] Salt Lake Tribune","Bowl numbers via ESPN, ShowBuzz Daily [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], TV Media Insights, Programming Insiders [1], [2] Salt Lake Tribune",,"Bowl numbers via ESPN, ShowBuzz Daily [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], TV Media Insights, Programming Insiders [1], [2] Salt Lake Tribune","Bowl numbers via ESPN, ShowBuzz Daily [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], TV Media Insights, Programming Insiders [1], [2] Salt Lake Tribune",,,
WEEK FIFTEEN,WEEK FIFTEEN,WEEK FIFTEEN,,WEEK FIFTEEN,WEEK FIFTEEN,,,
"Saturday, December 12","Saturday, December 12","Saturday, December 12",,"Saturday, December 12","Saturday, December 12",,,
4.5,7.129M,ArmyNavy,,3:00 PM,CBS,,,
Week 15 numbers via Sports Business Daily,Week 15 numbers via Sports Business Daily,Week 15 numbers via Sports Business Daily,,Week 15 numbers via Sports Business Daily,Week 15 numbers via Sports Business Daily,,,
WEEK FOURTEEN,WEEK FOURTEEN,WEEK FOURTEEN,,WEEK FOURTEEN,WEEK FOURTEEN,,,
"Friday, December 4","Friday, December 4","Friday, December 4",,"Friday, December 4","Friday, December 4",,,
0.7,1.034M,BGSU/NIUMAC Champ.,,7:27 PM,ESPN2,,,
"Saturday, December 5","Saturday, December 5","Saturday, December 5",,"Saturday, December 5","Saturday, December 5",,,
7.8,12.760M,Alabama/UFSEC Champ.,,4:00 PM,CBS,,,
5.7,9.818M,MSU/IowaBig Ten Champ.,,8:19 PM,FOX,,,
4.1,7.919M,Clem./UNCACC Champ.,,8:07 PM,ABC,,,
2.7,3.943M,TexasBaylor,,12:01 PM,ESPN,,,
1.6,2.582M,USC/Stan.Pac-12 Champ.,,7:45 PM,ESPN,,,
1.8,2.450M,Hou./TempleAAC Champ.,,12:01 PM,ABC,,,
—,620K,W. VirginiaK-State,,4:35 PM,FS1,,,
—,488K,USM/WKUC-USA Champ.,,12:00 PM,ESPN2,,,
—,362K,AF/SDSUMWC Champ.,,7:30 PM,ESPN2,,,
"Week 14 numbers via Sports Business Daily, TV Media Insights [1], [2], ShowBuzz Daily","Week 14 numbers via Sports Business Daily, TV Media Insights [1], [2], ShowBuzz Daily","Week 14 numbers via Sports Business Daily, TV Media Insights [1], [2], ShowBuzz Daily",,"Week 14 numbers via Sports Business Daily, TV Media Insights [1], [2], ShowBuzz Daily","Week 14 numbers via Sports Business Daily, TV Media Insights [1], [2], ShowBuzz Daily",,,
WEEK THIRTEEN,WEEK THIRTEEN,WEEK THIRTEEN,,WEEK THIRTEEN,WEEK THIRTEEN,,,
"Tuesday, November 24","Tuesday, November 24","Tuesday, November 24",,"Tuesday, November 24","Tuesday, November 24",,,
—,400K,OhioN. Illinois,,7:34 PM,ESPNU,,,
"Thursday, November 26 (Thanksgiving)","Thursday, November 26 (Thanksgiving)","Thursday, November 26 (Thanksgiving)",,"Thursday, November 26 (Thanksgiving)","Thursday, November 26 (Thanksgiving)",,,
0.6,1.358M,Texas TechTexas,,7:30 PM,FS1,,,
—,388K,USFUCF,,7:27 PM,ESPN,,,
"Friday, November 27","Friday, November 27","Friday, November 27",,"Friday, November 27","Friday, November 27",,,
3.9,6.189M,IowaNebraska,,3:30 PM,ABC,,,
3.1,5.108M,BaylorTCU,,8:14 PM,ESPN,,,
2.1,3.055M,NavyHouston,,12:00 PM,ABC,,,
1.6,2.390M,MissouriArkansas,,2:30 PM,CBS,,,
1.0,1.538M,Wash. St.Washington,,3:30 PM,FOX,,,
—,801K,MiamiPittsburgh,,12:00 PM,ESPN2,,,
—,726K,Oregon St.Oregon,,4:00 PM,FS1,,,
—,168K,MarshallW. Kentucky,,12:00 PM,FS1,,,
—,147K,TulsaTulane,,8:16 PM,ESPNU,,,
—,81K,UMassBuffalo,,4:35 PM,ESPNU,,,
"Saturday, November 28","Saturday, November 28","Saturday, November 28",,"Saturday, November 28","Saturday, November 28",,,
6.4,10.830M,Ohio St.Michigan,,12:00 PM,ABC,,,
5.3,9.299M,AlabamaAuburn,,3:30 PM,CBS,,,
4.3,7.319M,Notre DameStanford,,7:36 PM,FOX,,,
2.8,4.794M,OklahomaOkla. St.,,8:07 PM,ABC,,,
2.5,4.503M,Penn St.Mich. St.,,3:30 PM,ESPN,,,
2.4,4.280M,FSUFlorida,,7:32 PM,ESPN,,,
2.6,4.222M,USC/UCLAor UNC/NCSU,,3:30 PM,ABC,,,
1.8,2.943M,ClemsonS. Carolina,,12:01 PM,ESPN,,,
—,1.023M,GeorgiaGa. Tech,,12:00 PM,ESPN2,,,
—,930K,MississippiMiss. St.,,7:14 PM,ESPN2,,,
—,471K,Iowa St.W. Virginia,,12:00 PM,FS1,,,
—,454K,Va. TechVirginia,,12:00 PM,ESPNU,,,
—,380K,UNC/NCSUor USC/UCLA,,3:33 PM,ESPN2,,,
—,347K,NevadaSDSU,,10:45 PM,ESPN2,,,
—,337K,Arizona St.Cal,,10:00 PM,FS1,,,
—,278K,UConnTemple,,7:03 PM,ESPNU,,,
—,264K,K-StateKansas,,4:00 PM,FS1,,,
—,224K,N’wstnIllinois,,3:38 PM,ESPNU,,,
—,196K,Air ForceNew Mexico,,10:20 PM,ESPNU,,,
—,77K,SMUMemphis,,12:00 PM,ESPNEWS,,,
"Week 13 numbers via Sports Business Daily, TV Media Insights, ShowBuzz Daily, Sports TV Ratings [1], [2], [3]","Week 13 numbers via Sports Business Daily, TV Media Insights, ShowBuzz Daily, Sports TV Ratings [1], [2], [3]","Week 13 numbers via Sports Business Daily, TV Media Insights, ShowBuzz Daily, Sports TV Ratings [1], [2], [3]",,"Week 13 numbers via Sports Business Daily, TV Media Insights, ShowBuzz Daily, Sports TV Ratings [1], [2], [3]","Week 13 numbers via Sports Business Daily, TV Media Insights, ShowBuzz Daily, Sports TV Ratings [1], [2], [3]",,,
WEEK TWELVE,WEEK TWELVE,WEEK TWELVE,,WEEK TWELVE,WEEK TWELVE,,,
"Tuesday, November 17","Tuesday, November 17","Tuesday, November 17",,"Tuesday, November 17","Tuesday, November 17",,,
—,527K,ToledoBGSU,,6:00 PM,ESPN2,,,
—,101K,Ball St.Ohio,,7:00 PM,ESPNU,,,
"Wednesday, November 18","Wednesday, November 18","Wednesday, November 18",,"Wednesday, November 18","Wednesday, November 18",,,
—,630K,W. Mich.N. Illinois,,8:00 PM,ESPN2,,,
—,106K,C. Mich.Kent St.,,8:00 PM,ESPNU,,,
"Thursday, November 19","Thursday, November 19","Thursday, November 19",,"Thursday, November 19","Thursday, November 19",,,
—,669K,ECUUCF,,7:26 PM,ESPN,,,
—,84K,UL-MonroeTexas St.,,9:30 PM,ESPNU,,,
"Friday, November 20","Friday, November 20","Friday, November 20",,"Friday, November 20","Friday, November 20",,,
0.6,966K,Air ForceBoise St.,,9:30 PM,ESPN2,,,
"Saturday, November 21","Saturday, November 21","Saturday, November 21",,"Saturday, November 21","Saturday, November 21",,,
6.6,11.052M,Mich. St.Ohio St.,,3:30 PM,ABC,,,
3.9,6.110M,MichiganPenn St.,,12:01 PM,ABC,,,
2.6,4.277M,BaylorOkla. St.,,7:36 PM,FOX,,,
2.4,3.856M,TCUOklahoma,,8:06 PM,ABC,,,
2.0,3.163M,LSUMississippi,,3:30 PM,CBS,,,
1.3,2.086M,UNCVa. Tech,,12:00 PM,ESPN,,,
1.3,2.082M,Miss. St.Arkansas,,7:05 PM,ESPN,,,
1.1,1.986M,Boston Col.Notre Dame,,7:43 PM,NBCSN,,,
1.2,1.917M,CalStanford,,10:52 PM,ESPN,,,
1.1,1.660M,USCOregon,,3:54 PM,ESPN,,,
0.8,1.348M,TennesseeMissouri,,7:15 PM,ESPN2,,,
0.7,1.218M,PurdueIowa,,12:00 PM,ESPN2,,,
0.5,954K,Ga. SouthernGeorgia,,7:06 PM,ESPNU,,,
0.6,845K,UCLAUtah,,3:36 PM,FOX,,,
0.5,780K,Wake ForestClemson,,3:30 PM,ESPN2,,,
0.3,489K,ColoradoWash. St.,,10:45 PM,ESPN2,,,
0.2,393K,ArizonaArizona St.,,3:40 PM,FS1,,,
0.2,373K,HoustonUConn,,3:30 PM,ESPNU,,,
0.2,363K,Iowa St.K-State,,12:00 PM,FS1,,,
0.2,279K,MemphisTemple,,12:00 PM,ESPNU,,,
—,269K,IllinoisMinnesota,,12:00 PM,ESPNEWS,,,
—,237K,LouisvillePittsburgh,,3:54 PM,ESPNEWS,,,
0.1,106K,YaleHarvard,,2:30 PM,NBCSN,,,
—,56K,TulaneSMU,,8:00 PM,ESPNEWS,,,
"Week 12 numbers via Nielsen, ESPN, TV Media Insights, Sports TV Ratings [1], [2], [3], ShowBuzz Daily [1], [2]","Week 12 numbers via Nielsen, ESPN, TV Media Insights, Sports TV Ratings [1], [2], [3], ShowBuzz Daily [1], [2]","Week 12 numbers via Nielsen, ESPN, TV Media Insights, Sports TV Ratings [1], [2], [3], ShowBuzz Daily [1], [2]",,"Week 12 numbers via Nielsen, ESPN, TV Media Insights, Sports TV Ratings [1], [2], [3], ShowBuzz Daily [1], [2]","Week 12 numbers via Nielsen, ESPN, TV Media Insights, Sports TV Ratings [1], [2], [3], ShowBuzz Daily [1], [2]",,,
WEEK ELEVEN,WEEK ELEVEN,WEEK ELEVEN,,WEEK ELEVEN,WEEK ELEVEN,,,
"Tuesday, November 10","Tuesday, November 10","Tuesday, November 10",,"Tuesday, November 10","Tuesday, November 10",,,
—,561K,ToledoC. Mich.,,8:00 PM,ESPN2,,,
—,146K,Kent St.Ohio,,8:00 PM,ESPNU,,,
"Wednesday, November 11","Wednesday, November 11","Wednesday, November 11",,"Wednesday, November 11","Wednesday, November 11",,,
—,665K,BGSUW. Mich.,,8:00 PM,ESPN2,,,
—,191K,N. IllinoisBuffalo,,8:00 PM,ESPNU,,,
"Thursday, November 12","Thursday, November 12","Thursday, November 12",,"Thursday, November 12","Thursday, November 12",,,
1.0,1.527M,Va. TechGa. Tech,,7:30 PM,ESPN,,,
—,160K,UL-LafayetteS. Alabama,,7:30 PM,ESPNU,,,
"Friday, November 13","Friday, November 13","Friday, November 13",,"Friday, November 13","Friday, November 13",,,
0.9,1.374M,USCColorado,,9:06 PM,ESPN2,,,
"Saturday, November 14","Saturday, November 14","Saturday, November 14",,"Saturday, November 14","Saturday, November 14",,,
3.8,5.884M,OklahomaBaylor,,8:07 PM,ABC,,,
3.4,5.403M,AlabamaMiss. St.,,3:27 PM,CBS,,,
3.3,5.175M,MICH/INDor CLEM/SYR,,3:32 PM,ABC,,,
2.6,4.079M,Ohio St.Illinois,,12:01 PM,ABC,,,
2.2,3.638M,ArkansasLSU,,7:15 PM,ESPN,,,
1.9,2.955M,GeorgiaAuburn,,12:00 PM,CBS,,,
1.7,2.795M,OregonStanford,,7:35 PM,FOX,,,
1.3,1.942M,Wake ForestNotre Dame,,3:30 PM,NBC,,,
1.3,1.923M,Wash. St.UCLA,,10:45 PM,ESPN,,,
—,1.741M,Okla. St.Iowa St.,,3:30 PM,ESPN,,,
—,1.736M,FloridaS. Carolina,,12:00 PM,ESPN,,,
—,1.006M,MarylandMich. St.,,12:00 PM,ESPN2,,,
0.5,748K,MemphisHouston,,7:05 PM,ESPN2,,,
—,735K,CLEM/SYRor MICH/IND,,3:30 PM,ESPN2,,,
—,685K,TexasW. Virginia,,12:00 PM,ESPNU,,,
—,575K,UtahArizona,,10:00 PM,FS1,,,
—,414K,K-StateTexas Tech,,3:43 PM,FS1,,,
—,398K,KansasTCU,,12:00 PM,FS1,,,
—,367K,MiamiUNC,,3:30 PM,ESPNU,,,
—,296K,W. CarolinaTexas A&M,,7:00 PM,ESPNU,,,
—,245K,PittsburghDuke,,12:00 PM,ESPNEWS,,,
—,235K,New MexicoBoise St.,,10:29 PM,ESPNU,,,
—,61K,TulsaCincinnati,,7:45 PM,ESPNEWS,,,
"Week 11 numbers from Sports Business Daily, Sports TV Ratings [1], [2], [3], TV Media Insights [1], [2], ShowBuzz Daily","Week 11 numbers from Sports Business Daily, Sports TV Ratings [1], [2], [3], TV Media Insights [1], [2], ShowBuzz Daily","Week 11 numbers from Sports Business Daily, Sports TV Ratings [1], [2], [3], TV Media Insights [1], [2], ShowBuzz Daily",,"Week 11 numbers from Sports Business Daily, Sports TV Ratings [1], [2], [3], TV Media Insights [1], [2], ShowBuzz Daily","Week 11 numbers from Sports Business Daily, Sports TV Ratings [1], [2], [3], TV Media Insights [1], [2], ShowBuzz Daily",,,
WEEK TEN,WEEK TEN,WEEK TEN,,WEEK TEN,WEEK TEN,,,
"Tuesday, November 3","Tuesday, November 3","Tuesday, November 3",,"Tuesday, November 3","Tuesday, November 3",,,
—,856K,N. IllinoisToledo,,8:00 PM,ESPN2,,,
"Wednesday, November 4","Wednesday, November 4","Wednesday, November 4",,"Wednesday, November 4","Wednesday, November 4",,,
—,622K,OhioBGSU,,8:00 PM,ESPN2,,,
"Thursday, November 5","Thursday, November 5","Thursday, November 5",,"Thursday, November 5","Thursday, November 5",,,
—,1.189M,BaylorKansas St.,,7:30 PM,FS1,,,
—,1.189M,Miss. StMissouri,,8:55 PM,ESPN,,,
—,261K,NevadaFresno St.,,10:30 PM,ESPN2,,,
—,200K,Ark. StateApp. State,,7:30 PM,ESPNU,,,
"Friday, November 6","Friday, November 6","Friday, November 6",,"Friday, November 6","Friday, November 6",,,
—,1.080M,TempleSMU,,7:55 PM,ESPN2,,,
"Saturday, November 7","Saturday, November 7","Saturday, November 7",,"Saturday, November 7","Saturday, November 7",,,
6.4,11.063M,LSUAlabama,,8:00 PM,CBS,,,
4.7,7.563M,FSUClemson,,3:30 PM,ABC,,,
2.7,4.729M,MinnesotaOhio State,,8:05 PM,ABC,,,
2.5,3.844M,Notre DamePittsburgh,,12:01 PM,ABC,,,
2.0,3.470M,Michigan St.Nebraska,,7:03 PM,ESPN,,,
2.0,2.977M,ArkansasMississippi,,3:30 PM,CBS,,,
1.8,2.736M,VanderbiltFlorida,,12:01 PM,ESPN,,,
1.6,2.376M,TCUOkla. St.,,3:30 PM,FOX,,,
—,1.883M,IowaIndiana,,3:30 PM,ESPN,,,
—,1.528M,ArizonaUSC,,10:45 PM,ESPN,,,
0.9,1.518M,UtahWashington,,7:14 PM,FOX,,,
—,876K,Penn St.N’Western,,12:00 PM,ESPNU,,,
—,851K,CaliforniaOregon,,10:30 PM,ESPN2,,,
—,742K,DukeUNC,,12:00 PM,ESPN2,,,
—,710K,Texas TechW. Virginia,,12:00 PM,FS1,,,
—,653K,NavyMemphis,,7:09 PM,ESPN2,,,
—,554K,Iowa St.Oklahoma,,7:00 PM,ESPNU,,,
—,396K,CincinnatiHouston,,3:30 PM,ESPN2,,,
—,384K,Arizona St.Wash. St.,,3:30 PM,FS1,,,
—,248K,ArmyAir Force,,3:36 PM,ESPNU,,,
—,130K,UConnTulane,,4:00 PM,ESPNEWS,,,
—,67K,UCFTulsa,,12:00 PM,ESPNEWS,,,
"Week 9 numbers via Sports TV Ratings [1], [2], [3], ShowBuzz Daily [1], [2], TV Media Insights","Week 9 numbers via Sports TV Ratings [1], [2], [3], ShowBuzz Daily [1], [2], TV Media Insights","Week 9 numbers via Sports TV Ratings [1], [2], [3], ShowBuzz Daily [1], [2], TV Media Insights",,"Week 9 numbers via Sports TV Ratings [1], [2], [3], ShowBuzz Daily [1], [2], TV Media Insights","Week 9 numbers via Sports TV Ratings [1], [2], [3], ShowBuzz Daily [1], [2], TV Media Insights",,,
WEEK NINE,WEEK NINE,WEEK NINE,,WEEK NINE,WEEK NINE,,,
"Thursday, October 29","Thursday, October 29","Thursday, October 29",,"Thursday, October 29","Thursday, October 29",,,
1.1,1.519M,OregonArizona St.,,10:28 PM,ESPN,,,
—,1.247M,UNCPittsburgh,,6:58 PM,ESPN,,,
—,916K,West Va.TCU,,7:30 PM,FS1,,,
—,107K,Texas St.Ga. Southern,,7:30 PM,ESPNU,,,
"Friday, October 30","Friday, October 30","Friday, October 30",,"Friday, October 30","Friday, October 30",,,
—,629K,LouisvilleWake Forest,,7:00 PM,ESPN2,,,
—,425K,WyomingUtah St.,,10:28 PM,ESPN2,,,
—,188K,ECUUConn,,7:00 PM,ESPNU,,,
—,113K,La. TechRice,,8:00 PM,FS1,,,
"Saturday, October 31","Saturday, October 31","Saturday, October 31",,"Saturday, October 31","Saturday, October 31",,,
3.6,5.977M,Notre DameTemple,,8:07 PM,ABC,,,
3.1,5.015M,GeorgiaFlorida,,3:30 PM,CBS,,,
2.2,3.681M,MichiganMinnesota,,7:29 PM,ESPN,,,
2.3,3.498M,CLEM/NCSUor UMD/IOWA,,3:35 PM,ABC,,,
2.3,3.495M,MississippiAuburn,,12:00 PM,ESPN,,,
1.8,2.588M,SyracuseFSU,,12:01 PM,ABC,,,
1.7,2.513M,Oklahoma St.Texas Tech,,3:36 PM,ESPN,,,
1.5,2.306M,StanfordWash. St.,,10:45 PM,ESPN,,,
1.2,1.854M,USCCalifornia,,3:00 PM,FOX,,,
—,939K,IllinoisPenn St.,,12:00 PM,ESPN2,,,
—,849K,NebraskaPurdue,,12:00 PM,ESPNU,,,
—,742K,TexasIowa St.,,7:14 PM,FS1,,,
—,730K,UMD/IOWAor CLEM/NCSU,,3:35 PM,ESPN2,,,
—,490K,MiamiDuke,,7:14 PM,ESPNU,,,
—,482K,OklahomaKansas,,3:39 PM,FS1,,,
—,392K,VanderbiltHouston,,7:00 PM,ESPN2,,,
—,384K,ArizonaWashington,,11:00 PM,FS1,,,
—,287K,Boise St.UNLV,,3:47 PM,ESPNU,,,
—,101K,UCFCincinnati,,12:00 PM,ESPNEWS,,,
—,63K,TulsaSMU,,4:00 PM,ESPNEWS,,,
"Week 9 numbers via Sports Business Daily, Sports TV Ratings [1], [2], [3], TV Media Insights","Week 9 numbers via Sports Business Daily, Sports TV Ratings [1], [2], [3], TV Media Insights","Week 9 numbers via Sports Business Daily, Sports TV Ratings [1], [2], [3], TV Media Insights",,"Week 9 numbers via Sports Business Daily, Sports TV Ratings [1], [2], [3], TV Media Insights","Week 9 numbers via Sports Business Daily, Sports TV Ratings [1], [2], [3], TV Media Insights",,,
WEEK EIGHT,WEEK EIGHT,WEEK EIGHT,,WEEK EIGHT,WEEK EIGHT,,,
"Tuesday, October 20","Tuesday, October 20","Tuesday, October 20",,"Tuesday, October 20","Tuesday, October 20",,,
—,351K,UL-LafayetteArk. State,,8:00 PM,ESPN2,,,
"Thursday, October 22","Thursday, October 22","Thursday, October 22",,"Thursday, October 22","Thursday, October 22",,,
—,1.059M,CaliforniaUCLA,,8:55 PM,ESPN,,,
—,679K,TempleECU,,7:00 PM,ESPN2,,,
—,190K,Ga. South.App. State,,7:30 PM,ESPNU,,,
"Friday, October 23","Friday, October 23","Friday, October 23",,"Friday, October 23","Friday, October 23",,,
—,1.216M,MemphisTulsa,,7:55 PM,ESPN,,,
—,368K,Utah St.SDSU,,10:30 PM,ESPN2,,,
"Saturday, October 24","Saturday, October 24","Saturday, October 24",,"Saturday, October 24","Saturday, October 24",,,
4.3,6.965M,TennesseeAlabama,,3:30 PM,CBS,,,
3.0,5.290M,Ohio St.Rutgers,,8:06 PM,ABC,,,
3.1,4.869M,IND/MSUor TTU/OU,,3:30 PM,ABC,,,
2.1,3.344M,UtahUSC,,7:36 PM,FOX,,,
1.7,2.775M,Texas A&MMississippi,,7:07 PM,ESPN,,,
1.8,2.634M,ClemsonMiami,,12:01 PM,ABC,,,
1.4,2.098M,WashingtonStanford,,10:51 PM,ESPN,,,
—,1.943M,FSUGeorgia Tech,,7:17 PM,ESPN2,,,
—,1.747M,N’westernNebraska,,12:00 PM,ESPN2,,,
—,1.653M,Iowa St.Baylor,,12:00 PM,ESPN,,,
—,1.520M,Penn St.Maryland,,3:33 PM,ESPN,,,
—,1.247M,W. KentuckyLSU,,7:30 PM,ESPNU,,,
—,904K,Kansas St.Texas,,12:00 PM,FS1,,,
—,876K,TTU/OUor IND/MSU,,3:36 PM,ESPN2,,,
—,722K,DukeVa. Tech,,3:30 PM,ESPNU,,,
—,605K,WyomingBoise St.,,10:19 PM,ESPN2,,,
—,589K,PittsburghSyracuse,,12:00 PM,ESPNU,,,
—,433K,KansasOkla. St.,,3:37 PM,FS1,,,
—,171K,HoustonUCF,,12:00 PM,ESPNEWS,,,
—,86K,SMUUSF,,4:00 PM,ESPNEWS,,,
"Week 8 numbers via Sports Business Daily, Sports TV Ratings [1], [2], [3], ShowBuzz Daily, TV Media Insights","Week 8 numbers via Sports Business Daily, Sports TV Ratings [1], [2], [3], ShowBuzz Daily, TV Media Insights","Week 8 numbers via Sports Business Daily, Sports TV Ratings [1], [2], [3], ShowBuzz Daily, TV Media Insights",,"Week 8 numbers via Sports Business Daily, Sports TV Ratings [1], [2], [3], ShowBuzz Daily, TV Media Insights","Week 8 numbers via Sports Business Daily, Sports TV Ratings [1], [2], [3], ShowBuzz Daily, TV Media Insights",,,
WEEK SEVEN,WEEK SEVEN,WEEK SEVEN,,WEEK SEVEN,WEEK SEVEN,,,
"Tuesday, October 13","Tuesday, October 13","Tuesday, October 13",,"Tuesday, October 13","Tuesday, October 13",,,
—,287K,Ark. StateS. Alabama,,8:00 PM,ESPN2,,,
"Thursday, October 15","Thursday, October 15","Thursday, October 15",,"Thursday, October 15","Thursday, October 15",,,
—,2.226M,AuburnKentucky,,7:00 PM,ESPN,,,
—,1.326M,UCLAStanford,,10:33 PM,ESPN,,,
"Friday, October 16","Friday, October 16","Friday, October 16",,"Friday, October 16","Friday, October 16",,,
—,1.468M,CincinnatiBYU,,7:55 PM,ESPN,,,
—,358K,UNLVFresno St.,,10:30 PM,ESPN2,,,
—,185K,HoustonTulane,,9:00 PM,ESPNU,,,
"Saturday, October 17","Saturday, October 17","Saturday, October 17",,"Saturday, October 17","Saturday, October 17",,,
4.5,7.398M,Michigan St.Michigan,,3:28 PM,ESPN,,,
3.9,6.777M,FloridaLSU,,7:24 PM,ESPN,,,
3.3,5.867M,Penn St.Ohio St.,,8:06 PM,ABC,,,
3.6,5.761M,AlabamaTexas A&M,,3:30 PM,CBS,,,
2.5,3.958M,USCNotre Dame,,7:30 PM,NBC,,,
2.3,3.311M,MISS/MEM orIOWA/NWSTN,,12:01 PM,ABC,,,
1.9,3.059M,Arizona St.Utah,,10:46 PM,ESPN,,,
1.9,2.852M,LouisvilleFSU,,12:01 PM,ESPN,,,
—,2.195M,W. VirginiaBaylor,,12:00 PM,FOX,,,
1.1,1.565M,OklahomaK-State,,3:35 PM,ABC,,,
—,1.211M,OregonWashington,,10:38 PM,ESPN2,,,
—,970K,NebraskaMinnesota,,3:30 PM,ESPN2,,,
—,849K,TCUIowa St.,,7:00 PM,ESPN2,,,
—,504K,IOWA/NWSTN orMISS/MEM,,12:01 PM,ESPN2,,,
—,465K,Boston Coll.Clemson,,7:03 PM,ESPNU,,,
—,437K,Va. TechMiami,,3:30 PM,ESPNU,,,
—,417K,Texas TechKansas,,12:00 PM,FS1,,,
—,288K,ArizonaColorado,,9:00 PM,FS1,,,
—,121K,USFUConn,,12:00 PM,ESPNU,,,
—,71K,SDSUSJSU,,10:36 PM,ESPNU,,,
—,62K,TulsaECU,,12:00 PM,ESPNEWS,,,
"Week 7 numbers via ShowBuzz Daily, Sports TV Ratings [1], [2], TV Media Insights, Sports Business Daily","Week 7 numbers via ShowBuzz Daily, Sports TV Ratings [1], [2], TV Media Insights, Sports Business Daily","Week 7 numbers via ShowBuzz Daily, Sports TV Ratings [1], [2], TV Media Insights, Sports Business Daily",,"Week 7 numbers via ShowBuzz Daily, Sports TV Ratings [1], [2], TV Media Insights, Sports Business Daily","Week 7 numbers via ShowBuzz Daily, Sports TV Ratings [1], [2], TV Media Insights, Sports Business Daily",,,
WEEK SIX,WEEK SIX,WEEK SIX,,WEEK SIX,WEEK SIX,,,
"Thursday, October 8","Thursday, October 8","Thursday, October 8",,"Thursday, October 8","Thursday, October 8",,,
1.0,1.446M,WashingtonUSC,,8:55 PM,ESPN,,,
—,356K,SMUHouston,,8:00 PM,ESPN2,,,
"Friday, October 9","Friday, October 9","Friday, October 9",,"Friday, October 9","Friday, October 9",,,
1.1,1.523M,N.C. StateVa. Tech,,8:00 PM,ESPN,,,
"Saturday, October 10","Saturday, October 10","Saturday, October 10",,"Saturday, October 10","Saturday, October 10",,,
3.3,4.992M,TexasOklahoma,,12:00 PM,ABC,,,
3.0,4.884M,GeorgiaTennessee,,3:30 PM,CBS,,,
2.9,4.835M,ArkansasAlabama,,7:00 PM,ESPN,,,
2.3,3.502M,MiamiFSU,,8:07 PM,ABC,,,
2.2,3.466M,WISC/NEBor GT/CLEM,,3:30 PM,ABC,,,
1.8,2.820M,CalUtah,,10:37 PM,ESPN,,,
1.8,2.784M,TCUK-State,,7:36 PM,FOX,,,
1.7,2.639M,NavyNotre Dame,,3:30 PM,NBC,,,
—,2.600M,LSUS. Carolina,,3:30 PM,ESPN,,,
—,1.535M,IndianaPenn St.,,12:00 PM,ESPN,,,
—,1.157M,Oklahoma St.W. Virginia,,7:14 PM,ESPN2,,,
—,1.021M,IllinoisIowa,,12:00 PM,ESPN2,,,
—,706K,WISC/NEBor GT/CLEM,,3:33 PM,ESPN2,,,
—,299K,Oregon St.Arizona,,4:00 PM,FS1,,,
—,273K,ECUBYU,,7:30 PM,ESPNU,,,
—,257K,WyomingAir Force,,11:14 PM,ESPN2,,,
—,242K,MinnesotaPurdue,,3:30 PM,ESPNU,,,
—,236K,BaylorKansas,,12:00 PM,FS1,,,
—,111K,UConnUCF,,3:45 PM,ESPNEWS,,,
